employee_id,leave_record_type,leave_status_name,leave_type_code,leave_type_name,leave_reason_name,leave_start_date,leave_end_date,leave_hours,calendar_days,quality_flag,leave_family,rostered_shifts_in_leave,rostered_hours_in_leave,unit_of_shifts,shift_categories,position_name,rate_grouping,role_class,occupational_group,employee_overall_job_type,agreement_family,contract_hours,fte,terms_of_employment_description,position_entry_end_date,primary_roster_unit,roster_window_start,roster_window_end,al_remaining_hours,al_booked_hours,al_excess_flag,starts_inside_roster_window,lead_days_from_2026_09_19,contract_ends_before_leave_ends
SYN006125,Booked Leave,Future,AL,ANNUAL LEAVE,ANNUAL LEAVE,2026-09-29,2026-10-11,48.04,13,OK,ANNUAL,6,48.0,SU0340,AM,Registered Nurse,REGISTERED NURSE,NURSE_RN,NURSING,CASUAL,ANF,0.0,0.0,"ANF - RN, EN(MH) IND AGR",2027-02-17,SU0340,2026-06-15,2026-10-16,82.618799,0.0,0,true,10,false
SYN005398,Booked Leave,Future,AL,ANNUAL LEAVE,ANNUAL LEAVE,2026-09-29,2026-10-12,76.0,14,OK,ANNUAL,10,78.7,SU0141,AM,Registered Nurse,REGISTERED NURSE,NURSE_RN,NURSING,CASUAL,ANF,0.0,0.0,"ANF - RN, EN(MH) IND AGR",2026-09-20,SU0141,2026-06-15,2026-10-16,59.610613,187.301283,0,true,10,true
SYN003285,Booked Leave,Future,AL,ANNUAL LEAVE,ANNUAL LEAVE,2026-09-29,2026-10-02,10.0,4,OK,ANNUAL,1,10.0,SU0383,AM,Social Worker,HSU PROF DIV L1,ALLIED_PROF,MEDICAL SUPPORT,PERMANENT,HSUWA,76.0,1.0,HSUWA PACTS IND AGMT,,SU0383,2026-06-18,2026-10-01,2.10223,129.148586,0,true,10,
SYN003156,Booked Leave,Future,AL,ANNUAL LEAVE,ANNUAL LEAVE,2026-09-29,2026-10-02,31.13,4,OK,ANNUAL,4,30.4,SU0139,AM,Clinical Nurse,CLINICAL NURSE / CLINICAL MIDWIFE / SDN,NURSE_SENIOR,NURSING,PERMANENT,ANF,80.0,1.053,"ANF - RN, EN(MH) IND AGR",,SU0139,2026-06-16,2026-10-16,91.8398,228.0,0,true,10,
SYN002874,Booked Leave,Future,AL,ANNUAL LEAVE,ANNUAL LEAVE,2026-09-29,2026-10-11,72.0,13,OK,ANNUAL,4,32.0,SU0430,AM,Registered Nurse,SENIOR REGISTERED NURSE L3,NURSE_SENIOR,NURSING,PERMANENT,ANF,56.0,0.737,"ANF - RN, EN(MH) IND AGR",,SU0434,2026-06-15,2026-10-02,67.22540000000001,0.0,0,true,10,
SYN005771,Booked Leave,Future,PC,PROF DEV LV ACCRUING,PROF DEV LV ACCRUING,2026-09-29,2026-09-29,8.0,1,OK,PROF_DEV_STUDY,0,,,,Registered Nurse,SENIOR REGISTERED NURSE L3,NURSE_SENIOR,NURSING,PERMANENT,ANF,45.6,0.6,"ANF - RN, EN(MH) IND AGR",2026-09-13,SU0434,2026-06-03,2026-09-20,123.70059900000001,0.0,0,false,10,true
SYN008247,Booked Leave,Future,AL,ANNUAL LEAVE,ANNUAL LEAVE HALF PAY,2026-09-29,2026-09-29,7.6,1,OK,ANNUAL,1,7.6,SU0160,AM,Assistant in Nursing,ASSISTANT IN NURSING,NURSE_AIN,NURSING,FIXED TERM,UWU_EN_AIN,48.0,0.632,EN NSE & NUR ASS (76),2026-10-26,SU0160,2026-06-15,2026-10-16,45.149,0.0,0,true,10,false
SYN005774,Booked Leave,Future,PE,PERSONAL LV CUMULATIVE,PERSLVE CUM CARERS NOEVID,2026-09-29,2026-09-29,7.6,1,OK,PERSONAL_SICK,0,,,,Clinical Nurse,CLINICAL NURSE / CLINICAL MIDWIFE / SDN,NURSE_SENIOR,NURSING,PERMANENT,ANF,72.0,0.947,"ANF - RN, EN(MH) IND AGR",2026-12-06,SU0289,2026-05-25,2026-09-24,151.999998,0.0,0,false,10,false
SYN006627,Booked Leave,Future,AL,ANNUAL LEAVE,ANNUAL LEAVE,2026-09-29,2026-10-02,22.67,4,OK,ANNUAL,3,22.799999999999997,SU0041,AM,Enrolled Nurse,ENROLLED NURSE,NURSE_EN,NURSING,PERMANENT,UWU_EN_AIN,64.0,0.842,EN NSE & NUR ASS (76),,SU0041,2026-06-15,2026-10-16,62.797612,151.964088,0,true,10,
SYN009367,Booked Leave,Future,OT,OTHER LEAVE,STUDY LEAVE,2026-09-29,2026-09-29,8.0,1,OK,OTHER,1,8.0,SU0103,AM,Occupational Therapist,HSU PROF DIV L2,ALLIED_PROF,MEDICAL SUPPORT,CASUAL,HSUWA,0.0,0.0,HSUWA PACTS IND AGMT,2027-09-05,SU0103,2026-06-22,2026-10-23,9.00308,0.0,0,true,10,false
SYN001945,Booked Leave,Future,LL,ANN LVE IN LIEU L LDG,AL IN LIEU OF LVE LDG,2026-09-29,2026-09-29,7.6,1,OK,ANNUAL,0,,,,Registered Nurse,REGISTERED NURSE,NURSE_RN,NURSING,PERMANENT,ANF,67.5,0.888,"ANF - RN, EN(MH) IND AGR",,SU0324,2026-06-02,2026-09-01,43.843,10.0,0,false,10,
SYN007166,Booked Leave,Future,AL,ANNUAL LEAVE,ANNUAL LEAVE,2026-09-29,2026-10-02,32.0,4,OK,ANNUAL,4,32.0,SU0081,AM,Social Worker,HSU PROF DIV L2,ALLIED_PROF,MEDICAL SUPPORT,FIXED TERM,HSUWA,76.0,1.0,HSUWA PACTS IND AGMT,2026-11-01,SU0081,2026-06-15,2026-10-16,162.841293,181.588897,0,true,10,false
SYN007640,Booked Leave,Future,AL,ANNUAL LEAVE,ANNUAL LEAVE,2026-09-29,2026-09-29,12.0,1,OK,ANNUAL,1,12.0,SU0325,LONG_DAY,Medical Imaging Technologist,HSU PROF DIV L1,ALLIED_PROF,MEDICAL SUPPORT,FIXED TERM,HSUWA,76.0,1.0,HSUWA PACTS IND AGMT,2027-02-28,SU0325,2026-07-07,2026-11-02,137.0508,76.0,0,true,10,false
SYN002686,Booked Leave,Future,AL,ANNUAL LEAVE,ANNUAL LEAVE,2026-09-29,2026-10-02,24.0,4,OK,ANNUAL,4,32.0,SU0250,AM,Physiotherapist,HSU PROF DIV L3,ALLIED_PROF,MEDICAL SUPPORT,PERMANENT,HSUWA,76.0,1.0,HSUWA PACTS IND AGMT,,SU0250,2026-06-16,2026-10-15,142.0035,0.0,0,true,10,
SYN006186,Booked Leave,Future,DL,MED PRACT AL ADDIT LVE,MED PRACT AL ADDIT LVE,2026-09-29,2026-10-19,20.0,21,OK,ANNUAL,5,20.0,SU0380,PM|AM,Surgery Consultant Medical Officer,CONSULTANT,MED_SENIOR,MEDICAL,PERMANENT,AMA,4.0,0.05,MED PRAC (SNR FT) IND AGR,,SU0380,2026-07-13,2026-11-10,195.98489899999998,36.495095,0,true,10,
SYN002305,Booked Leave,Future,AD,ACCRUED DAY OFF,ADO,2026-09-30,2026-09-30,8.0,1,OK,ADO_TOIL_ONCALL,0,,,,Clinical Nurse,CLINICAL NURSE / CLINICAL MIDWIFE / SDN,NURSE_SENIOR,NURSING,PERMANENT,ANF,56.0,0.737,"ANF - RN, EN(MH) IND AGR",2027-05-02,SU0365,2026-06-08,2026-09-25,212.439,0.0,0,false,11,false
SYN009038,Booked Leave,Future,TP,TOIL PUBLIC HOLIDAY,TIME IN LIEU ACC PUB HOL,2026-09-30,2026-09-30,8.0,1,OK,PUBLIC_HOLIDAY_TOIL,1,8.0,SU0182,AM,Registered Nurse,REGISTERED NURSE,NURSE_RN,NURSING,FIXED TERM,ANF,40.0,0.526,"ANF - RN, EN(MH) IND AGR",2026-11-25,SU0182,2026-06-15,2026-10-14,232.8678,15.2,0,true,11,false
SYN003061,Booked Leave,Future,AL,ANNUAL LEAVE,ANNUAL LEAVE,2026-09-30,2026-10-16,76.15,17,OK,ANNUAL,0,,,,Registered Nurse,REGISTERED NURSE,NURSE_RN,NURSING,CASUAL,ANF,0.0,0.0,"ANF - RN, EN(MH) IND AGR",2027-02-07,SU0036,2026-05-25,2026-09-24,282.207498,38.24,0,false,11,false
SYN007330,Booked Leave,Future,AL,ANNUAL LEAVE,ANNUAL LEAVE,2026-09-30,2026-09-30,8.92,1,OK,ANNUAL,0,,,,Registered Nurse,REGISTERED NURSE,NURSE_RN,NURSING,CASUAL,ANF,0.0,0.0,"ANF - RN, EN(MH) IND AGR",2026-11-08,SU0379,2026-05-21,2026-09-16,22.999999,0.0,0,false,11,false
SYN004735,Booked Leave,Future,PD,PROF DEV LV NON-ACCRUE,PROF DEV LV NON-ACCRUE,2026-09-30,2026-09-30,7.6,1,OK,PROF_DEV_STUDY,1,7.6,SU0160,AM,Clinical Nurse,CLINICAL NURSE / CLINICAL MIDWIFE / SDN,NURSE_SENIOR,NURSING,PERMANENT,ANF,76.0,1.0,"ANF - RN, EN(MH) IND AGR",,SU0160,2026-06-22,2026-10-23,22.0472,64.0,0,true,11,
SYN003719,Booked Leave,Future,AL,ANNUAL LEAVE,ANNUAL LEAVE,2026-09-30,2026-09-30,10.0,1,OK,ANNUAL,0,,,,Physiotherapist,HSU PROF DIV L2,ALLIED_PROF,MEDICAL SUPPORT,PERMANENT,HSUWA,68.4,0.9,HSUWA PACTS IND AGMT,,SU0383,2026-05-25,2026-08-25,59.375764,150.680881,0,false,11,
SYN005184,Booked Leave,Future,AL,ANNUAL LEAVE,ANNUAL LEAVE,2026-09-30,2026-09-30,10.0,1,OK,ANNUAL,0,,,,Podiatrist,HSU PROF DIV L1,ALLIED_PROF,MEDICAL SUPPORT,PERMANENT,HSUWA,30.4,0.4,HSUWA PACTS IND AGMT,,SU0383,2026-06-10,2026-10-08,228.675631,224.258168,0,true,11,
SYN006703,Booked Leave,Future,PC,PROF DEV LV ACCRUING,PROF DEV LV ACCRUING,2026-09-30,2026-10-02,24.0,3,OK,PROF_DEV_STUDY,3,25.349999999999998,SU0318,AM,Occupational Therapist,HSU PROF DIV L2,ALLIED_PROF,MEDICAL SUPPORT,PERMANENT,HSUWA,30.4,0.4,HSUWA PACTS IND AGMT,2027-08-09,SU0188,2026-06-22,2026-10-23,468.64164,100.355857,0,true,11,false
SYN009314,Booked Leave,Future,AL,ANNUAL LEAVE,ANNUAL LEAVE,2026-09-30,2026-10-07,38.0,8,OK,ANNUAL,8,64.0,SU0393,AM,Clinical Nurse,CLINICAL NURSE / CLINICAL MIDWIFE / SDN,NURSE_SENIOR,NURSING,PERMANENT,ANF,68.4,0.9,"ANF - RN, EN(MH) IND AGR",,SU0393,2026-06-22,2026-10-23,155.790297,0.0,0,true,11,
SYN009163,Booked Leave,Future,LL,ANN LVE IN LIEU L LDG,AL IN LIEU OF LVE LDG,2026-09-30,2026-10-08,31.26,9,OK,ANNUAL,3,22.799999999999997,SU0286,AM,Consultant Medical Officer,CONSULTANT,MED_SENIOR,MEDICAL,FIXED TERM,AMA,20.0,0.25,MED PRAC (SNR FT) IND AGR,2027-02-07,SU0286,2026-06-17,2026-10-16,384.0,0.0,1,true,11,false
SYN006048,Booked Leave,Future,LS,LONG SERVICE LEAVE,LONG SERVICE LEAVE,2026-09-30,2026-10-25,52.15,26,OK,LONG_SERVICE,6,20.0,SU0332,AM,Technical Clinician,HSU GEN DIV L3,SUPPORT_OTHER,MEDICAL SUPPORT,PERMANENT,UWU_HSW,40.0,0.526,HOSP SUPPORT WKR IND AGMT,2026-09-23,SU0332,2026-06-08,2026-10-09,9.6634,83.6,0,true,11,true
SYN008903,Booked Leave,Future,PC,PROF DEV LV ACCRUING,PROF DEV LV ACCRUING,2026-09-30,2026-10-01,20.0,2,OK,PROF_DEV_STUDY,2,20.0,SU0383,AM,Registered Nurse,REGISTERED NURSE,NURSE_RN,NURSING,CASUAL,ANF,0.0,0.0,"ANF - RN, EN(MH) IND AGR",2027-03-07,SU0383,2026-06-23,2026-10-02,52.435772,91.834727,0,true,11,false
SYN007551,Booked Leave,Future,AL,ANNUAL LEAVE,ANNUAL LEAVE,2026-09-30,2026-09-30,7.6,1,OK,ANNUAL,1,8.05,SU0333,AM,Enrolled Nurse,ENROLLED NURSE,NURSE_EN,NURSING,PERMANENT,UWU_EN_AIN,64.0,0.842,EN NSE & NUR ASS (76),,SU0333,2026-06-08,2026-10-09,400.0,0.0,1,true,11,
SYN006505,Booked Leave,Future,LL,ANN LVE IN LIEU L LDG,AL IN LIEU OF LVE LDG,2026-09-30,2026-09-30,7.6,1,OK,ANNUAL,0,,,,Registered Nurse,REGISTERED NURSE,NURSE_RN,NURSING,CASUAL,ANF,0.0,0.0,"ANF - RN, EN(MH) IND AGR",2026-09-13,SU0301,2026-05-20,2026-09-17,199.774699,115.1105,0,false,11,true
SYN003028,Booked Leave,Future,AL,ANNUAL LEAVE,ANNUAL LEAVE,2026-09-30,2026-09-30,7.6,1,OK,ANNUAL,0,,,,Clinical Nurse,CLINICAL NURSE / CLINICAL MIDWIFE / SDN,NURSE_SENIOR,NURSING,PERMANENT,ANF,70.0,0.921,"ANF - RN, EN(MH) IND AGR",,SU0285,2026-06-22,2026-09-25,93.990095,0.0,0,false,11,
SYN006318,Booked Leave,Future,PC,PROF DEV LV ACCRUING,PROF DEV LV ACCRUING,2026-09-30,2026-10-02,16.0,3,OK,PROF_DEV_STUDY,3,24.0,SU0328,AM,Occupational Therapist,HSU PROF DIV L2,ALLIED_PROF,MEDICAL SUPPORT,PERMANENT,HSUWA,55.6,0.732,HSUWA PACTS IND AGMT,2026-09-27,SU0328,2026-06-22,2026-10-23,323.844186,0.0,1,true,11,true
SYN008191,Booked Leave,Future,TP,TOIL PUBLIC HOLIDAY,TIME IN LIEU ACC PUB HOL,2026-09-30,2026-10-06,40.0,7,OK,PUBLIC_HOLIDAY_TOIL,5,40.0,SU0326,AM,Registered Nurse,REGISTERED NURSE GRADUATE,NURSE_RN,NURSING,PERMANENT,ANF,72.0,0.947,"ANF - RN, EN(MH) IND AGR",,SU0326,2026-06-29,2026-10-30,37.3768,0.0,0,true,11,
SYN001751,Booked Leave,Future,AL,ANNUAL LEAVE,ANNUAL LEAVE,2026-09-30,2026-10-09,53.2,10,OK,ANNUAL,0,,,,Registered Nurse,SENIOR REGISTERED NURSE L3,NURSE_SENIOR,NURSING,PERMANENT,ANF,45.6,0.6,"ANF - RN, EN(MH) IND AGR",,SU0285,2026-06-15,2026-09-18,251.385896,0.0,0,false,11,
SYN000874,Booked Leave,Future,AL,ANNUAL LEAVE,ANNUAL LEAVE,2026-09-30,2026-10-11,64.0,12,OK,ANNUAL,0,,,,Medical Officer,PSYCHIATRIST (TRAINEE),MED_REGISTRAR,MEDICAL,FIXED TERM,AMA,80.0,1.0,MED PRACT (DIT) IND AGR,2027-01-10,SU0427,2026-05-25,2026-09-13,128.5331,0.0,0,false,11,false
SYN003294,Booked Leave,Future,AL,ANNUAL LEAVE,ANNUAL LEAVE,2026-09-30,2026-10-16,80.03,17,OK,ANNUAL,0,,,,Registered Nurse,SENIOR REGISTERED NURSE L4,NURSE_SENIOR,NURSING,PERMANENT,ANF,72.0,0.947,"ANF - RN, EN(MH) IND AGR",2026-10-09,SU0369,2026-05-25,2026-09-25,1.249,0.0,0,false,11,true
SYN009508,Booked Leave,Future,LS,LONG SERVICE LEAVE,LONG SERVICE LEAVE,2026-09-30,2026-09-30,7.6,1,OK,LONG_SERVICE,1,8.0,SU0099,PM,Pharmacist,HSU GEN DIV L1/2,SUPPORT_OTHER,MEDICAL SUPPORT,CASUAL,HSUWA,0.0,0.0,HSUWA PACTS IND AGMT,2027-04-04,SU0099,2026-07-06,2026-11-04,353.495,76.0,0,true,11,false
SYN000265,Booked Leave,Future,AL,ANNUAL LEAVE,ANNUAL LEAVE,2026-09-30,2026-10-02,22.8,3,OK,ANNUAL,0,,,,Registered Nurse,REGISTERED NURSE,NURSE_RN,NURSING,PERMANENT,ANF,53.2,0.7,ANF-RN MIDWIFE ENROLD MNTL HLTH NRSE AGMT,2049-12-03,SU0261,2026-05-18,2026-08-21,63.114762,19.288634,0,false,11,false
SYN008247,Booked Leave,Future,AL,ANNUAL LEAVE,ANNUAL LEAVE,2026-09-30,2026-10-02,7.6,3,OK,ANNUAL,1,7.6,SU0160,AM,Assistant in Nursing,ASSISTANT IN NURSING,NURSE_AIN,NURSING,FIXED TERM,UWU_EN_AIN,48.0,0.632,EN NSE & NUR ASS (76),2026-10-26,SU0160,2026-06-15,2026-10-16,45.149,0.0,0,true,11,false
SYN000908,Booked Leave,Future,AL,ANNUAL LEAVE,ANNUAL LEAVE,2026-09-30,2026-09-30,7.6,1,OK,ANNUAL,1,7.6,SU0193,AM,Medical Officer,SUPERVISED MEDICAL OFFICER,MED_JUNIOR,MEDICAL,FIXED TERM,AMA,80.0,1.0,MED PRACT (DIT) IND AGR,2027-01-17,SU0193,2026-06-01,2026-10-02,57.8776,0.0,0,true,11,false
SYN007112,Booked Leave,Future,LW,LEAVE WITHOUT PAY,LEAVE WITHOUT PAY,2026-09-30,2026-10-02,30.0,3,OK,UNPAID,1,10.0,SU0383,AM,Registered Nurse,REGISTERED NURSE,NURSE_RN,NURSING,CASUAL,ANF,0.0,0.0,"ANF - RN, EN(MH) IND AGR",2027-07-03,SU0383,2026-06-02,2026-10-04,201.955698,0.0,1,true,11,false
SYN002597,Booked Leave,Future,PC,PROF DEV LV ACCRUING,PROF DEV LV ACCRUING,2026-09-30,2026-10-08,56.0,9,OK,PROF_DEV_STUDY,3,24.0,SU0434,AM,Clinical Nurse,CLINICAL NURSE / CLINICAL MIDWIFE / SDN,NURSE_SENIOR,NURSING,PERMANENT,ANF,80.0,1.053,"ANF - RN, EN(MH) IND AGR",,SU0080,2026-06-15,2026-10-02,44.875399,0.0,1,true,11,
SYN008167,Booked Leave,Future,LS,LONG SERVICE LEAVE,LONG SERVICE LEAVE,2026-09-30,2026-09-30,11.94,1,OK,LONG_SERVICE,1,12.0,SU0326,LONG_DAY,Physiotherapist,HSU PROF DIV L1,ALLIED_PROF,MEDICAL SUPPORT,PERMANENT,HSUWA,60.8,0.8,HSUWA PACTS IND AGMT,2027-01-24,SU0326,2026-06-08,2026-10-04,96.525311,36.456288,0,true,11,false
SYN002518,Booked Leave,Future,AL,ANNUAL LEAVE,ANNUAL LEAVE,2026-09-30,2026-10-05,32.0,6,OK,ANNUAL,0,,,,Clinical Nurse,CLINICAL NURSE / CLINICAL MIDWIFE / SDN,NURSE_SENIOR,NURSING,PERMANENT,ANF,64.0,0.842,"ANF - RN, EN(MH) IND AGR",,SU0435,2026-07-20,2026-09-20,33.5144,0.0,0,false,11,
SYN000418,Booked Leave,Future,PA,PDL RESERVED ANF&ENA,PDL PRESERVE ANF&ENA,2026-09-30,2026-09-30,7.0,1,OK,PROF_DEV_STUDY,1,7.0,SU0275,PM,Occupational Therapist,HSU PROF DIV L1,ALLIED_PROF,MEDICAL SUPPORT,FIXED TERM,OTHER,76.0,1.0,HEALTH SERVICE UNION GENERAL AGREEMENT,2027-02-21,SU0279,2026-06-09,2026-10-09,338.34,0.0,1,true,11,false
SYN007941,Booked Leave,Future,AL,ANNUAL LEAVE,ANNUAL LEAVE HALF PAY,2026-09-30,2026-10-02,22.8,3,OK,ANNUAL,0,,,,Registered Nurse,REGISTERED NURSE,NURSE_RN,NURSING,PERMANENT,ANF,64.0,0.842,"ANF - RN, EN(MH) IND AGR",,SU0384,2026-06-08,2026-09-25,265.090692,0.0,0,false,11,
SYN005590,Booked Leave,Future,AL,ANNUAL LEAVE,ANNUAL LEAVE,2026-09-30,2026-10-05,30.4,6,OK,ANNUAL,4,29.95,SU0287,AM,Registered Nurse,REGISTERED NURSE,NURSE_RN,NURSING,PERMANENT,ANF,16.0,0.211,"ANF - RN, EN(MH) IND AGR",,SU0287,2026-06-15,2026-10-16,133.993494,0.0,0,true,11,
SYN001323,Booked Leave,Future,AL,ANNUAL LEAVE,ANNUAL LEAVE,2026-09-30,2026-10-14,88.0,15,OK,ANNUAL,0,,,,Resident Medical Officer,RESIDENT MEDICAL OFFICER,MED_JUNIOR,MEDICAL,FIXED TERM,AMA,80.0,1.0,MED PRACT (DIT) IND AGR,2028-12-31,SU0467,2026-06-01,2026-09-16,98.45660000000001,0.0,0,false,11,false
SYN002458,Booked Leave,Future,AL,ANNUAL LEAVE,ANNUAL LEAVE,2026-09-30,2026-10-02,9.5,3,OK,ANNUAL,0,,,,Anaesthesia Technician,HSU GEN DIV L3,SUPPORT_OTHER,MEDICAL SUPPORT,PERMANENT,HSUWA,57.0,0.75,HSUWA PACTS IND AGMT,,SU0363,2026-06-10,2026-09-11,118.1792,0.0,0,false,11,
SYN007191,Booked Leave,Future,AL,ANNUAL LEAVE,ANNUAL LEAVE,2026-09-30,2026-09-30,7.6,1,OK,ANNUAL,1,8.05,SU0288,AM,Geriatric Medicine Consultant Medical Officer,CONSULTANT,MED_SENIOR,MEDICAL,PERMANENT,AMA,20.0,0.25,MED PRAC (SNR FT) IND AGR,,SU0288,2026-06-08,2026-10-08,46.0,32.0,0,true,11,
SYN001369,Booked Leave,Future,TP,TOIL PUBLIC HOLIDAY,TIME IN LIEU ACC PUB HOL,2026-09-30,2026-10-02,22.8,3,OK,PUBLIC_HOLIDAY_TOIL,3,22.799999999999997,SU0353,AM,Resident Medical Officer,RESIDENT MEDICAL OFFICER,MED_JUNIOR,MEDICAL,FIXED TERM,AMA,80.0,1.0,MED PRACT (DIT) IND AGR,2027-01-03,SU0353,2026-06-15,2026-10-05,138.691113,39.966483,0,true,11,false
SYN000858,Booked Leave,Future,PL,PAID PARENTAL LEAVE,PARENTAL ORD HRS HALFPAY,2026-09-30,2027-04-13,560.0,196,OK,PARENTAL,20,136.0,SU0124,AM,Senior Medical Registrar,SENIOR REGISTRAR,MED_REGISTRAR,MEDICAL,FIXED TERM,AMA,80.0,1.0,MED PRACT (DIT) IND AGR,2027-02-28,SU0124,2026-07-14,2026-11-13,102.260298,0.0,0,true,11,true
SYN005799,Booked Leave,Future,AL,ANNUAL LEAVE,ANNUAL LEAVE,2026-09-30,2026-10-09,54.47,10,OK,ANNUAL,8,32.0,SU0395,AM,Assistant in Nursing,ASSISTANT IN NURSING,NURSE_AIN,NURSING,CASUAL,UWU_EN_AIN,0.0,0.0,EN NSE & NUR ASS (76),2027-08-24,SU0420,2026-06-15,2026-10-09,427.54668599999997,206.6626,1,true,11,false
SYN004633,Booked Leave,Future,AL,ANNUAL LEAVE,ANNUAL LEAVE,2026-09-30,2026-09-30,8.0,1,OK,ANNUAL,1,4.5,SU0362,AM,Registered Nurse,REGISTERED NURSE,NURSE_RN,NURSING,PERMANENT,ANF,32.0,0.421,"ANF - RN, EN(MH) IND AGR",2027-03-01,SU0362,2026-06-24,2026-09-30,25.58209,23.287709,0,true,11,false
SYN001551,Booked Leave,Future,AL,ANNUAL LEAVE,ANNUAL LEAVE,2026-09-30,2026-09-30,9.5,1,OK,ANNUAL,0,,,,Resident Medical Officer,RESIDENT MEDICAL OFFICER,MED_JUNIOR,MEDICAL,FIXED TERM,AMA,80.0,1.0,MED PRACT (DIT) IND AGR,2027-12-19,SU0363,2026-05-18,2026-08-19,105.392094,161.4275,0,false,11,false
SYN004650,Booked Leave,Future,AL,ANNUAL LEAVE,ANNUAL LEAVE,2026-09-30,2026-10-01,18.37,2,OK,ANNUAL,2,20.0,SU0381,AM,Technical Clinician,HSU GEN DIV L6,SUPPORT_OTHER,MEDICAL SUPPORT,PERMANENT,HSUWA,76.0,1.0,HSUWA PACTS IND AGMT,,SU0381,2026-06-15,2026-10-15,310.814395,0.0,0,true,11,
SYN000634,Booked Leave,Future,AL,ANNUAL LEAVE,ANNUAL LEAVE,2026-09-30,2026-10-04,17.07,5,OK,ANNUAL,0,,,,Medical Registrar,REGISTRAR,MED_REGISTRAR,MEDICAL,FIXED TERM,AMA,80.0,1.0,MED PRACT (DIT) IND AGR,2027-01-31,SU0383,2026-06-15,2026-09-18,101.26029799999999,0.0,0,false,11,false
SYN009350,Booked Leave,Future,AL,ANNUAL LEAVE,ANNUAL LEAVE,2026-09-30,2026-09-30,9.0,1,OK,ANNUAL,0,,,,Registered Nurse,REGISTERED NURSE,NURSE_RN,NURSING,PERMANENT,ANF,80.0,1.053,"ANF - RN, EN(MH) IND AGR",,SU0374,2026-05-19,2026-09-18,140.650766,190.567425,0,false,11,
SYN000440,Booked Leave,Future,AL,ANNUAL LEAVE,ANNUAL LEAVE,2026-09-30,2026-10-07,23.98,8,OK,ANNUAL,10,80.5,SU0316,AM,Podiatrist,HSU PROF DIV L1,ALLIED_PROF,MEDICAL SUPPORT,CASUAL,OTHER,0.0,0.0,HEALTH SERVICE UNION GENERAL AGREEMENT,2049-12-24,SU0316,2026-06-08,2026-10-09,477.184636,89.370451,0,true,11,false
SYN008648,Booked Leave,Future,PB,PDL BASE ANF&ENA,PDL BASE ANF&ENA,2026-09-30,2026-09-30,8.0,1,OK,PROF_DEV_STUDY,0,,,,Physiotherapist,HSU PROF DIV L4,ALLIED_PROF,MEDICAL SUPPORT,PERMANENT,HSUWA,30.4,0.4,HSUWA PACTS IND AGMT,,SU0250,2026-05-18,2026-09-18,59.0587,0.0,0,false,11,
SYN006900,Booked Leave,Future,TP,TOIL PUBLIC HOLIDAY,TIME IN LIEU ACC PUB HOL,2026-09-30,2026-10-12,64.0,13,OK,PUBLIC_HOLIDAY_TOIL,0,,,,Enrolled Nurse,ENROLLED NURSE,NURSE_EN,NURSING,PERMANENT,UWU_EN_AIN,48.0,0.632,EN NSE & NUR ASS (76),2026-09-13,SU0059,2026-05-25,2026-09-23,55.176,0.0,0,false,11,true
SYN008871,Booked Leave,Future,OT,OTHER LEAVE,STUDY LEAVE,2026-09-30,2026-10-01,16.0,2,OK,OTHER,2,24.0,SU0325,LONG_DAY|DAY,Neurology Consultant Medical Officer,CONSULTANT,MED_SENIOR,MEDICAL,CASUAL,AMA,0.0,0.0,MED PRAC (SNR FT) IND AGR,2026-10-25,SU0325,2026-06-22,2026-10-21,8.0,0.0,0,true,11,false
SYN003659,Booked Leave,Future,DL,MED PRACT AL ADDIT LVE,MED PRACT AL ADDIT LVE,2026-09-30,2026-10-01,16.0,2,OK,ANNUAL,0,,,,Registered Nurse,REGISTERED NURSE,NURSE_RN,NURSING,PERMANENT,ANF,54.0,0.711,"ANF - RN, EN(MH) IND AGR",,SU0426,2026-06-22,2026-09-25,336.877351,88.97234,0,false,11,
SYN009016,Booked Leave,Future,AL,ANNUAL LEAVE,ANNUAL LEAVE,2026-09-30,2026-10-09,60.0,10,OK,ANNUAL,6,60.0,SU0020,AM,Other Medical Support Services Clinician,HSU PROF DIV L1,ALLIED_PROF,MEDICAL SUPPORT,CASUAL,HSUWA,0.0,0.0,HSUWA PACTS IND AGMT,2026-11-01,SU0020,2026-06-29,2026-10-29,396.585194,80.0,0,true,11,false
SYN005447,Booked Leave,Future,PE,PERSONAL LV CUMULATIVE,PERSLVE CUM SICK NO EVID,2026-10-01,2026-10-01,7.6,1,OK,PERSONAL_SICK,0,,,,Clinical Nurse,CLINICAL NURSE / CLINICAL MIDWIFE / SDN,NURSE_SENIOR,NURSING,PERMANENT,ANF,64.0,0.842,"ANF - RN, EN(MH) IND AGR",,SU0042,2026-06-01,2026-09-04,351.138699,0.0,1,false,12,
SYN006441,Booked Leave,Future,TP,TOIL PUBLIC HOLIDAY,TIME IN LIEU ACC PUB HOL,2026-10-01,2026-10-01,8.0,1,OK,PUBLIC_HOLIDAY_TOIL,1,8.0,SU0275,AM,Clinical Nurse,CLINICAL NURSE / CLINICAL MIDWIFE / SDN,NURSE_SENIOR,NURSING,PERMANENT,ANF,56.0,0.737,"ANF - RN, EN(MH) IND AGR",,SU0275,2026-06-22,2026-10-23,49.9662,0.0,0,true,12,
